Name,Reference,Issue status,Item number,Number,Warehouse,Quantity,Site,,
บริษัท พี.เอช.เค.ซัพพลาย จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17002129,SW-LPA,"-1,050.00",VNG-S,รับเอง พิชัยเฟอร์นิเจอร์ (ใช้ใบชั่วคราวส่ง),2017-04-20
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,1PB02NG150012302450,VSDP17002130,SW-LPA,-140,VNG-S,โกดังสยามวู๊ด,2017-04-21
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,1PB02NG150012302450,VSDP17002131,SW-LPA,-70,VNG-S,โกดังสยามวู๊ด,2017-04-21
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,1PB02NG150012302450,VSDP17002132,SW-LPA,"-1,050.00",VNG-S,ปณชัยใหม่,2017-04-26
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,4MBP2FS160012302450,VSDS17000416,SW-LMA,-62,VNG-S,M.K - ใบชั่วคราว,2017-04-22
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,4MBP2FS160012302450,VSDS17000417,SW-LMA,-124,VNG-S,M.K - ใบชั่วคราว,2017-04-24
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,4MBP2FS160012302450,VSDS17000418,SW-LMA,-142,VNG-S,M.K - ใบชั่วคราว,2017-04-25
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,4MBP2FS190012302450,VSDS17000419,SW-LMA,-52,VNG-S,M.K - ใบชั่วคราว,2017-04-24
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,4MBP2FS190012302450,VSDS17000420,SW-LMA,-52,VNG-S,M.K - ใบชั่วคราว,2017-04-25
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,1PB02NG150012302450,VSDP17002142,SW-LPA,-70,VNG-S,โกดังสยามวู๊ด,2017-04-22
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,1PB02NG150012302450,VSDP17002143,SW-LPA,-70,VNG-S,โกดังสยามวู๊ด,2017-04-22
