Name,Reference,Issue status,Item number,Number,Warehouse,Quantity,Site,,,,
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003901,SW-LPA,-70,VNG-S,สุพรรณคลอง 14-ใบชั่วคราว,2017-08-02,2017-07-31,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003904,SW-LPA,-70,VNG-S,สุพรรณคลอง 14-ใบชั่วคราว,2017-08-03,2017-07-31,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003907,SW-LPA,-70,VNG-S,สุพรรณคลอง 14-ใบชั่วคราว,2017-08-04,2017-07-31,คุณดำรงศักดิ์
บริษัท รวมเจริญ วู๊ด มาร์เก็ตติ้ง จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003909,SW-LPA,-140,VNG-S,สุพรรณคลอง 14-ใบชั่วคราว,2017-08-05,2017-07-31,คุณดำรงศักดิ์
บริษัท แกรนด์ดิส จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003913,SW-LPA,"-1,050.00",VNG-S,บริษัท แกรนด์ดิส จำกัด,2017-08-07,2017-07-31,คุณวิรัช
บริษัท แกรนด์ดิส จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003915,SW-LPA,-420,VNG-S,บริษัท แกรนด์ดิส จำกัด,2017-08-17,2017-07-31,คุณวิรัช
บริษัท ทรัพย์ลีลา จำกัด,Sales order,On order,4MBP2FS190012302450,VSDS17000837,SW-LMA,-18,VNG-S,บริษัท ทรัพย์ลีลา จำกัด,2017-08-03,2017-08-01,คุณวิรัช
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,4MBP2FS160012302450,VSDS17000839,SW-LMA,-62,VNG-S,M.K - ใบชั่วคราว,2017-08-07,2017-08-01,คุณวิรัช
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,4MBP2FS160012302450,VSDS17000840,SW-LMA,-62,VNG-S,M.K - ใบชั่วคราว,2017-08-09,2017-08-01,คุณวิรัช
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,4MBP2FS160012302450,VSDS17000841,SW-LMA,-124,VNG-S,M.K - ใบชั่วคราว,2017-08-11,2017-08-01,คุณวิรัช
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,4MBP2FS190012302450,VSDS17000843,SW-LMA,-104,VNG-S,M.K - ใบชั่วคราว,2017-08-08,2017-08-01,คุณวิรัช
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,4MBP2FS190012302450,VSDS17000845,SW-LMA,-52,VNG-S,M.K - ใบชั่วคราว,2017-08-12,2017-08-01,คุณวิรัช
ห้างหุ้นส่วนจำกัด ทีเอ็นเค วู้ด,Sales order,On order,4MBP2FS190012302450,VSDS17000846,SW-LMA,-52,VNG-S,M.K - ใบชั่วคราว,2017-08-16,2017-08-01,คุณวิรัช
บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,Sales order,On order,1PB01GG160012302450,VSDP17003934,SW-LPA,-65,VNG-S,บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,2017-08-01,2017-08-01,คุณไกรฤกษ์
บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,Sales order,On order,1PB01GG190012302450,VSDP17003937,SW-LPA,-110,VNG-S,บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,2017-08-01,2017-08-01,คุณไกรฤกษ์
บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,Sales order,On order,1PB01GG190012302450,VSDP17003939,SW-LPA,-55,VNG-S,บจก.อินเด็กซ์ อินเตอร์เฟิร์น สาขา มหาชัย,2017-08-01,2017-08-01,คุณไกรฤกษ์
บจก.โรงเลื่อยจักรมหาชัย,Sales order,On order,1PB02NG150012302450,VSDP17003946,SW-LPA,-70,VNG-S,บจก.โรงเลื่อยจักรมหาชัย,2017-08-01,2017-08-01,คุณไกรฤกษ์
บริษัท แกรนด์ดิส จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003948,SW-LPA,-210,VNG-S,บริษัท แกรนด์ดิส จำกัด,2017-08-07,2017-08-01,คุณวิรัช
บริษัท แกรนด์ดิส จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003949,SW-LPA,"-1,050.00",VNG-S,บริษัท แกรนด์ดิส จำกัด,2017-08-17,2017-08-01,คุณวิรัช
บริษัท สถาพร ลามิเนชั่น จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003952,SW-LPA,-140,VNG-S,บริษัท สถาพร ลามิเนชั่น จำกัด,2017-08-04,2017-08-02,คุณวิรัช
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003955,SW-LPA,-70,VNG-S,ปณชัย-ใบชั่วคราว,2017-08-03,2017-08-02,คุณวิรัช
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003958,SW-LPA,-70,VNG-S,เมโทรพูลทรัพย์ - ใบชั่วคราว,2017-08-03,2017-08-02,คุณวิรัช
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003959,SW-LPA,-70,VNG-S,เมโทรพูลทรัพย์ - ใบชั่วคราว,2017-08-04,2017-08-02,คุณวิรัช
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003961,SW-LPA,-140,VNG-S,เมโทรพูลทรัพย์ - ใบชั่วคราว,2017-08-07,2017-08-02,คุณวิรัช
บริษัท เมเจอร์ แปลน จำกัด,Sales order,On order,1PB02NG150012302450,VSDP17003962,SW-LPA,-70,VNG-S,เมโทรพูลทรัพย์ - ใบชั่วคราว,2017-08-08,2017-08-02,คุณวิรัช
